databaseId,caseId,url,longUrl,title,citation,language,docketNumber,decisionDate,keywords,topics,concatenatedId,aiContentId
onltb,2010canlii25236,https://canlii.ca/t/29q41,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25236/2010canlii25236.html,SOL-03633-10 (Re),2010 CanLII 25236 (ON LTB),en,SOL-03633-10,2010-04-12,eviction — tenancy — pay — unit — owing,,2010onltb1000626,NA
onltb,2010canlii67985,https://canlii.ca/t/2dhcz,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii67985/2010canlii67985.html,TEL-28019 (Re),2010 CanLII 67985 (ON LTB),en,TEL-28019,2010-04-09,rental unit — daughter boyfriend s name removed — illegal — bag containing what appeared — drug,,2010onltb1001914,NA
onltb,2010canlii25436,https://canlii.ca/t/29q6l,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25436/2010canlii25436.html,TSL-28102 (Re),2010 CanLII 25436 (ON LTB),en,TSL-28102,2010-04-09,solicotor — evict — toll — application — unit,,2010onltb1000746,NA
onltb,2010canlii25432,https://canlii.ca/t/29q6g,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25432/2010canlii25432.html,TSL-07348-RV (Re),2010 CanLII 25432 (ON LTB),en,TSL-07348-RV; TST-01903,2010-04-09,rent — rental unit — tenancy — request for review — eviction,,2010onltb1000742,NA
onltb,2010canlii25414,https://canlii.ca/t/29q5v,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25414/2010canlii25414.html,TNL-02077-09 (Re),2010 CanLII 25414 (ON LTB),en,TNL-02077-09,2010-04-09,rent deposit — rental unit — tenancy — owing — pay,,2010onltb1000724,NA
onltb,2010canlii25407,https://canlii.ca/t/29q2d,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25407/2010canlii25407.html,EAL-04220-10-RV (Re),2010 CanLII 25407 (ON LTB),en,EAL-04220-10-RV,2010-04-09,owes — evict — toll — tenancy — issued,,2010onltb1000717,NA
onltb,2010canlii25400,https://canlii.ca/t/29q26,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25400/2010canlii25400.html,CEL-23337 (Re),2010 CanLII 25400 (ON LTB),en,CEL-23337,2010-04-09,occupant of the rental unit — permitted in the residential complex — evict — termination — toll,,2010onltb1000710,NA
onltb,2010canlii25397,https://canlii.ca/t/29q22,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25397/2010canlii25397.html,CEL-22771-SA (Re),2010 CanLII 25397 (ON LTB),en,CEL-22771-SA,2010-04-09,motion to set aside — evict — mediated — toll — unjustified,,2010onltb1000707,NA
onltb,2010canlii25310,https://canlii.ca/t/29q81,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25310/2010canlii25310.html,TST-02643 (Re),2010 CanLII 25310 (ON LTB),en,TST-02643,2010-04-09,hot water tank — rental unit — mould — flood — contractor,,2010onltb1000699,NA
onltb,2010canlii25290,https://canlii.ca/t/29q7f,https://www.canlii.org/en/on/onltb/doc/2010/2010canlii25290/2010canlii25290.html,TEL-03047-10 (Re),2010 CanLII 25290 (ON LTB),en,TEL-03047-10,2010-04-09,tenancy — arrears — rent — discontinued — evict,,2010onltb1000680,NA
